front_distance,left_distance,right_distance,goal_direction,previous_action,step_count,expert_action,scenario_type
55,78,78,right,turn_left,3,turn_right,open_path
18,42,75,right,move_forward,4,turn_right,front_obstacle
26,12,85,right,none,0,turn_right,narrow_gap
14,16,5,forward,move_forward,1,stop,dead_end
79,30,80,right,stop,3,turn_right,goal_misalignment
12,30,69,forward,turn_right,5,turn_right,low_distance_noise
52,72,27,forward,reverse,6,move_forward,open_path
6,30,17,left,move_forward,4,turn_left,front_obstacle
33,15,60,right,turn_right,1,turn_right,narrow_gap
8,4,18,forward,none,6,stop,dead_end
47,51,34,left,stop,3,turn_left,goal_misalignment
20,32,47,forward,turn_left,1,move_forward,low_distance_noise
79,77,62,left,turn_right,4,turn_left,open_path
11,55,77,left,turn_left,0,turn_right,front_obstacle
12,10,80,right,reverse,3,turn_right,narrow_gap
3,18,5,right,stop,5,stop,dead_end
68,53,65,left,move_forward,5,turn_left,goal_misalignment
14,40,57,forward,turn_left,2,turn_right,low_distance_noise
93,64,56,forward,move_forward,0,move_forward,open_path
19,37,69,left,move_forward,5,turn_right,front_obstacle
11,21,77,right,move_forward,3,turn_right,narrow_gap
8,3,14,left,stop,3,reverse,dead_end
77,56,56,left,stop,0,turn_left,goal_misalignment
19,45,61,forward,reverse,3,turn_right,low_distance_noise
48,61,31,left,reverse,2,turn_left,open_path
5,68,46,forward,turn_right,0,turn_left,front_obstacle
20,9,44,right,reverse,5,turn_right,narrow_gap
18,4,11,forward,reverse,4,reverse,dead_end
81,86,28,left,turn_left,6,turn_left,goal_misalignment
14,31,73,forward,turn_right,3,turn_right,low_distance_noise
82,86,64,forward,stop,4,move_forward,open_path
9,32,16,left,reverse,1,turn_left,front_obstacle
32,5,51,right,stop,2,turn_right,narrow_gap
10,16,11,right,turn_right,6,stop,dead_end
86,42,42,left,none,3,turn_left,goal_misalignment
13,25,36,forward,reverse,3,turn_right,low_distance_noise
95,43,34,forward,reverse,2,move_forward,open_path
7,53,83,left,turn_right,3,turn_right,front_obstacle
17,10,46,right,move_forward,6,turn_right,narrow_gap
15,9,4,right,reverse,4,reverse,dead_end
90,32,26,right,turn_right,6,turn_right,goal_misalignment
13,32,83,forward,stop,1,turn_right,low_distance_noise
90,54,57,right,stop,2,turn_right,open_path
16,20,46,left,move_forward,2,turn_right,front_obstacle
33,14,87,right,stop,6,turn_right,narrow_gap
18,6,4,right,stop,5,reverse,dead_end
55,64,62,left,none,4,turn_left,goal_misalignment
17,26,57,forward,none,2,turn_right,low_distance_noise
87,78,38,forward,reverse,0,move_forward,open_path
15,72,79,right,none,5,turn_right,front_obstacle
30,19,65,right,stop,4,turn_right,narrow_gap
15,15,5,forward,none,0,stop,dead_end
77,80,30,left,turn_left,5,turn_left,goal_misalignment
21,32,81,forward,turn_right,3,move_forward,low_distance_noise
60,76,74,left,turn_right,1,turn_left,open_path
15,25,19,left,move_forward,3,turn_left,front_obstacle
21,11,84,right,turn_right,5,turn_right,narrow_gap
11,10,18,left,turn_right,2,stop,dead_end
74,73,25,left,turn_left,1,turn_left,goal_misalignment
16,32,80,forward,move_forward,0,turn_right,low_distance_noise
80,47,35,right,turn_left,4,turn_right,open_path
11,74,28,forward,reverse,3,turn_left,front_obstacle
16,15,58,right,reverse,4,turn_right,narrow_gap
9,11,5,forward,turn_left,4,reverse,dead_end
51,44,89,left,move_forward,4,turn_left,goal_misalignment
23,28,80,forward,turn_right,1,move_forward,low_distance_noise
70,84,76,left,turn_right,4,turn_left,open_path
15,50,37,right,turn_right,4,turn_left,front_obstacle
18,8,47,right,move_forward,0,turn_right,narrow_gap
14,14,3,forward,stop,4,reverse,dead_end
37,75,81,right,move_forward,0,turn_right,goal_misalignment
20,24,41,forward,turn_left,1,move_forward,low_distance_noise
74,72,25,left,move_forward,1,turn_left,open_path
14,70,82,forward,turn_left,1,turn_right,front_obstacle
23,17,70,right,move_forward,1,turn_right,narrow_gap
17,3,5,forward,turn_right,6,reverse,dead_end
82,49,44,left,turn_right,6,turn_left,goal_misalignment
20,39,69,forward,stop,3,move_forward,low_distance_noise
75,68,44,left,move_forward,2,turn_left,open_path
9,53,16,forward,reverse,0,turn_left,front_obstacle
15,21,41,right,reverse,6,turn_right,narrow_gap
9,14,11,left,none,1,reverse,dead_end
37,88,60,right,move_forward,0,turn_right,goal_misalignment
13,27,57,forward,stop,2,turn_right,low_distance_noise
71,50,49,right,stop,3,turn_right,open_path
